order_id,product_id,region,quantity,order_date,status
ORD-100001,P002,East,2.0,2026-01-07,completed
ORD-100002,P009,West,1.0,2026-01-23,Completed
ORD-100003,P004,North,5.0,2026-05-10,cancelled
ORD-100004,P004,East,1.0,2026-04-25,Completed
ORD-100005,P007,East,3.0,2026-03-29,completed
ORD-100006,P002,North,3.0,2026-04-08,pending
ORD-100007,P005,West,4.0,2026-01-12,completed
ORD-100008,P009,East,1.0,2026-03-17,completed
ORD-100009,P004,North,1.0,2026-03-16,cancelled
ORD-100010,P005,East,3.0,2026-04-27,Completed
ORD-100011,P005,North,2.0,2026-06-29,pending
ORD-100012,P004,West,5.0,2026-02-11,Completed
ORD-100013,P006,South,3.0,2026-01-15,cancelled
ORD-100014,P005,South,5.0,2026-01-17,COMPLETED
ORD-100015,P004,West,4.0,2026-06-17,Completed
ORD-100016,P005,South,5.0,2026-02-05,COMPLETED
ORD-100017,P010,West,2.0,2026-04-20,pending
ORD-100018,P008,North,2.0,2026-01-24,Completed
ORD-100019,P007,North,5.0,2026-06-02,cancelled
ORD-100020,P009,North,1.0,2026-03-06,pending
ORD-100021,P005,East,4.0,2026-06-14,Completed
ORD-100022,P008,East,2.0,2026-01-01,pending
ORD-100023,P002,East,5.0,2026-06-10,pending
ORD-100024,P004,East,5.0,2026-02-09,pending
ORD-100025,P001,East,1.0,2026-06-03,COMPLETED
ORD-100026,P005,North,5.0,2026-03-03,completed
ORD-100027,P002,North,5.0,2026-05-05,Completed
ORD-100028,P003,West,2.0,2026-06-18,COMPLETED
ORD-100029,P009,West,5.0,2026-06-05,Completed
ORD-100030,P005,East,5.0,2026-04-13,cancelled
ORD-100031,P002,South,1.0,2026-03-05,pending
ORD-100032,P009,South,,2026-02-28,completed
ORD-100033,P004,North,1.0,2026-01-18,pending
ORD-100034,P004,West,2.0,2026-03-13,pending
ORD-100035,P010,South,4.0,2026-05-02,Completed
ORD-100036,P002,West,4.0,2026-01-25,cancelled
ORD-100037,P001,North,3.0,2026-06-22,completed
ORD-100038,P004,South,2.0,2026-02-19,cancelled
ORD-100039,P003,West,1.0,2026-03-13,cancelled
ORD-100040,P009,North,5.0,2026-01-26,completed
ORD-100041,P002,South,4.0,2026-03-02,Completed
ORD-100042,P007,South,4.0,2026-01-16,COMPLETED
ORD-100043,P008,West,5.0,2026-03-15,cancelled
ORD-100044,P003,East,1.0,2026-02-18,pending
ORD-100045,P009,East,5.0,2026-01-16,cancelled
ORD-100046,P009,South,5.0,2026-05-16,completed
ORD-100047,P003,North,2.0,2026-01-18,cancelled
ORD-100048,P002,South,1.0,2026-05-26,pending
ORD-100049,P002,East,2.0,2026-04-18,COMPLETED
ORD-100050,P004,West,3.0,2026-03-09,cancelled
ORD-100051,P006,North,5.0,2026-01-19,completed
ORD-100052,P002,South,2.0,2026-05-18,COMPLETED
ORD-100053,P002,East,4.0,2026-03-04,pending
ORD-100054,P005,North,5.0,2026-06-06,COMPLETED
ORD-100055,P002,East,1.0,2026-02-04,pending
ORD-100056,P003,East,3.0,2026-03-11,Completed
ORD-100057,P005,West,1.0,2026-05-10,completed
ORD-100058,P007,North,,2026-03-12,Completed
ORD-100059,P005,West,4.0,2026-02-11,pending
ORD-100060,P001,North,2.0,2026-01-29,pending
ORD-100061,P001,South,1.0,2026-04-05,COMPLETED
ORD-100062,P006,East,2.0,2026-01-11,completed
ORD-100063,P006,West,2.0,2026-05-24,Completed
ORD-100064,P003,West,,2026-02-15,COMPLETED
ORD-100065,P007,South,1.0,2026-06-21,cancelled
ORD-100066,P001,South,4.0,2026-05-01,COMPLETED
ORD-100067,P005,South,,2026-02-28,Completed
ORD-100068,P007,East,3.0,2026-03-26,COMPLETED
ORD-100069,P009,East,1.0,2026-04-13,COMPLETED
ORD-100070,P003,East,5.0,2026-05-29,cancelled
ORD-100071,P006,West,5.0,2026-03-22,completed
ORD-100072,P007,South,4.0,2026-05-28,completed
ORD-100073,P009,South,1.0,2026-05-18,COMPLETED
ORD-100074,P010,North,3.0,2026-03-22,pending
ORD-100075,P005,West,3.0,2026-06-20,pending
ORD-100076,P003,West,4.0,2026-02-19,Completed
ORD-100077,P010,East,1.0,2026-05-26,COMPLETED
